Year,Month,Solar_Generation
2016,April,0.35
2016,May,0.28
2016,June,0.24
2016,July,0.19
2016,August,0.24
2016,September,0.22
2016,October,0.23
2016,November,0.96
2016,December,0.66
2017,January,0.63
2017,February,0.26
2017,March,1.42
2017,April,1.33
2017,May,1.43
2017,June,1.53
2017,July,1.19
2017,August,1.07
2017,September,1.11
2017,October,1.08
2017,November,0.77
2017,December,0.87
2018,January,1.03
2018,February,1.19
2018,March,1.19
2018,April,1.25
2018,May,1.29
2018,June,1.26
2018,July,1.12
2018,August,1.04
2018,September,0.97
2018,October,25.84
2018,November,0.85
2018,December,0.51
2019,January,0.48
2019,February,0.4
2019,March,0.63
2019,April,0.78
2019,May,1.06
2019,June,0.96
2019,July,0.88
2019,August,1.04
2019,September,12.74
2019,October,12.74
2019,November,10.51
2019,December,7.09
2020,January,7.09
2020,February,11.08
2020,March,8.46
2020,April,8.46
2020,May,8.46
2020,June,18.78
2020,July,17.16
2020,August,17.16
2020,September,17.16
2020,October,17.16
2020,November,17.32
2020,December,12.22
2021,January,12.22
2021,February,11.08
2021,March,8.46
2021,April,15.16
2021,May,15.16
2021,June,15.16
2021,July,20.04
2021,August,20.04
2021,September,20.04
2021,October,20.04
2021,November,20.04
2021,December,20.04
2022,January,20.04
2022,February,20.04
2022,March,20.04
2022,April,20.04
2022,May,22.64
2022,June,22.64
2022,July,22.64
2022,August,22.64
2022,September,22.64
2022,October,17.08
2022,November,17.08
2022,December,17.08
2023,January,17.21
2023,February,17.21
2023,March,17.21
2023,April,17.21
2023,May,17.21
2023,June,17.21
2023,July,17.21
2023,August,17.21
2023,September,17.21
2023,October,17.21
2023,November,17.21
2023,December,17.21
2024,January,17.21
2024,February,17.21
2024,March,17.21
2024,April,17.21
2024,May,17.21
2024,June,17.21
2024,July,17.21
2024,August,17.21
2024,September,17.21
2024,October,17.21
2024,November,17.21
2024,December,17.21
2025,January,17.21
