Date,Rainfall
01-03-2025,37.92098386138477
01-04-2025,25.689908275373565
01-05-2025,50.41517581238292
01-06-2025,134.50749810272208
01-07-2025,376.3541445366619
01-08-2025,302.5451826667658
01-09-2025,181.5603580893958
01-10-2025,31.150918663872844
01-11-2025,19.09400014055923
01-12-2025,31.590046397216405
01-01-2026,40.64755241474883
01-02-2026,28.166397024936817
01-03-2026,48.35366701336535
01-04-2026,31.345326043997346
01-05-2026,58.13660181108481
01-06-2026,136.90817671185565
01-07-2026,372.64865232853026
01-08-2026,290.469834869989
01-09-2026,182.4281578677364
01-10-2026,36.689834132530564
01-11-2026,23.645483279790678
01-12-2026,33.09969159356242
01-01-2027,46.036359378555225
01-02-2027,33.36048516377849
01-03-2027,52.19619480681649
01-04-2027,34.79733154757906
01-05-2027,61.75748863611837
01-06-2027,141.14051862905472
01-07-2027,376.38184966775486
01-08-2027,293.5188448015143
01-09-2027,186.53519515129014
01-10-2027,40.13231186418052
01-11-2027,27.007244128828457
01-12-2027,36.21279979412117
01-01-2028,49.4665666020997
01-02-2028,36.774775250154605
01-03-2028,55.50000265716615
01-04-2028,38.06921646089201
01-05-2028,65.04317862003792
01-06-2028,145.52258773266436
01-07-2028,380.72311659095556
01-08-2028,297.804183363928
01-09-2028,190.90702132630886
01-10-2028,43.40341793727011
01-11-2028,30.271752063920314
01-12-2028,39.45698181429818
01-01-2029,52.73666963216825
01-02-2029,40.043577146381445
01-03-2029,58.75977327002316
01-04-2029,41.32637755840296
01-05-2029,68.30146820217296
01-06-2029,149.91689616720257
01-07-2029,385.11408968339146
01-08-2029,302.19058463655966
01-09-2029,195.30049246071658
01-10-2029,46.66051536910041
01-11-2029,33.52831013615657
01-12-2029,42.711878360628106
01-01-2030,55.99368507103678
01-02-2030,43.30048622508882
01-03-2030,62.01594409358436
01-04-2030,44.58233506918743
01-05-2030,71.55751796004422
01-06-2030,154.31220509620803
01-07-2030,389.50912596748367
01-08-2030,306.58524720084273
01-09-2030,199.69573294528232
01-10-2030,49.91646767558396
01-11-2030,36.784218353114895
01-12-2030,45.96765075745981
